n_all,n_strata,RR_star_lower,RR_star_upper,response,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_1,alpha,rr,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,100,0.7,0.05,2.5,2.5,1,0.4,0.7,0.7,1
2,3,1,1,mult,100,0.75,0.05,2.5,2.5,1,0.4,0.75,0.75,1
2,3,1,1,mult,100,0.8,0.05,2.5,2.5,1,0.4,0.8,0.8,1
2,3,1,1,mult,100,0.85,0.05,2.5,2.5,1,0.4,0.85,0.85,0.98
2,3,1,1,mult,100,0.9,0.05,2.5,2.5,1,0.4,0.9,0.9,0.92
2,3,1,1,mult,100,0.95,0.05,2.5,2.5,1,0.4,0.95,0.95,0.66
2,3,1,1,mult,100,0.6,5e-5,2.5,2.5,1,0.4,0.6,0.6,0.95
2,3,1,1,mult,100,0.65,5e-5,2.5,2.5,1,0.4,0.65,0.65,0.93
2,3,1,1,mult,100,0.7,5e-5,2.5,2.5,1,0.4,0.7,0.7,0.9
2,3,1,1,mult,100,0.75,5e-5,2.5,2.5,1,0.4,0.75,0.75,0.83
2,3,1,1,mult,100,0.8,5e-5,2.5,2.5,1,0.4,0.8,0.8,0.71
2,3,1,1,mult,100,0.85,5e-5,2.5,2.5,1,0.4,0.85,0.85,0.51
2,3,1,1,mult,100,0.9,5e-5,2.5,2.5,1,0.4,0.9,0.9,0.25
2,3,1,1,mult,100,0.95,5e-5,2.5,2.5,1,0.4,0.95,0.95,0.05
2,3,1,1,mult,100,0.6,5e-6,2.5,2.5,1,0.4,0.6,0.6,0.88
2,3,1,1,mult,100,0.65,5e-6,2.5,2.5,1,0.4,0.65,0.65,0.84
2,3,1,1,mult,100,0.7,5e-6,2.5,2.5,1,0.4,0.7,0.7,0.78
2,3,1,1,mult,100,0.75,5e-6,2.5,2.5,1,0.4,0.75,0.75,0.68
2,3,1,1,mult,100,0.8,5e-6,2.5,2.5,1,0.4,0.8,0.8,0.52
2,3,1,1,mult,100,0.85,5e-6,2.5,2.5,1,0.4,0.85,0.85,0.32
2,3,1,1,mult,100,0.9,5e-6,2.5,2.5,1,0.4,0.9,0.9,0.12
2,3,1,1,mult,100,0.95,5e-6,2.5,2.5,1,0.4,0.95,0.95,0.02
2,3,1,1,mult,100,0.6,5.000000000000001e-7,2.5,2.5,1,0.4,0.6,0.6,0.76
