n_all,n_strata,RR_star_lower,RR_star_upper,response,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_1,alpha,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5.000000000000001e-7,66,0.9,0.9,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5.000000000000001e-7,66,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-8,66,0.6,0.6,0.5
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-8,66,0.65,0.65,0.44
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-8,66,0.7,0.7,0.36
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-8,66,0.75,0.75,0.25
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-8,66,0.8,0.8,0.15
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-8,66,0.85,0.85,0.06
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-8,66,0.9,0.9,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-8,66,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-10,66,0.6,0.6,0.23
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-10,66,0.65,0.65,0.19
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-10,66,0.7,0.7,0.13
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-10,66,0.75,0.75,0.08
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-10,66,0.8,0.8,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-10,66,0.85,0.85,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-10,66,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-10,66,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,0.05,83,0.6,0.6,1
2,3,1,1,mult,3,1,0.3333333333333333,0.65,0.05,83,0.65,0.65,1
2,3,1,1,mult,3,1,0.3333333333333333,0.7,0.05,83,0.7,0.7,1
2,3,1,1,mult,3,1,0.3333333333333333,0.75,0.05,83,0.75,0.75,1
2,3,1,1,mult,3,1,0.3333333333333333,0.8,0.05,83,0.8,0.8,1
2,3,1,1,mult,3,1,0.3333333333333333,0.85,0.05,83,0.85,0.85,0.99
2,3,1,1,mult,3,1,0.3333333333333333,0.9,0.05,83,0.9,0.9,0.95
2,3,1,1,mult,3,1,0.3333333333333333,0.95,0.05,83,0.95,0.95,0.72
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-5,83,0.6,0.6,0.98
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-5,83,0.65,0.65,0.97
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-5,83,0.7,0.7,0.95
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-5,83,0.75,0.75,0.9
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-5,83,0.8,0.8,0.81
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-5,83,0.85,0.85,0.62
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-5,83,0.9,0.9,0.33
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-5,83,0.95,0.95,0.07
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-6,83,0.6,0.6,0.94
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-6,83,0.65,0.65,0.92
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-6,83,0.7,0.7,0.87
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-6,83,0.75,0.75,0.79
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-6,83,0.8,0.8,0.65
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-6,83,0.85,0.85,0.43
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-6,83,0.9,0.9,0.18
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-6,83,0.95,0.95,0.02
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5.000000000000001e-7,83,0.6,0.6,0.87
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5.000000000000001e-7,83,0.65,0.65,0.83
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5.000000000000001e-7,83,0.7,0.7,0.76
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5.000000000000001e-7,83,0.75,0.75,0.64
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5.000000000000001e-7,83,0.8,0.8,0.47
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5.000000000000001e-7,83,0.85,0.85,0.26
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5.000000000000001e-7,83,0.9,0.9,0.08
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5.000000000000001e-7,83,0.95,0.95,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-8,83,0.6,0.6,0.76
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-8,83,0.65,0.65,0.7
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-8,83,0.7,0.7,0.61
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-8,83,0.75,0.75,0.48
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-8,83,0.8,0.8,0.31
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-8,83,0.85,0.85,0.15
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-8,83,0.9,0.9,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-8,83,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-10,83,0.6,0.6,0.48
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-10,83,0.65,0.65,0.41
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-10,83,0.7,0.7,0.32
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-10,83,0.75,0.75,0.21
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-10,83,0.8,0.8,0.11
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-10,83,0.85,0.85,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-10,83,0.9,0.9,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-10,83,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,0.05,100,0.6,0.6,1
2,3,1,1,mult,3,1,0.3333333333333333,0.65,0.05,100,0.65,0.65,1
2,3,1,1,mult,3,1,0.3333333333333333,0.7,0.05,100,0.7,0.7,1
2,3,1,1,mult,3,1,0.3333333333333333,0.75,0.05,100,0.75,0.75,1
2,3,1,1,mult,3,1,0.3333333333333333,0.8,0.05,100,0.8,0.8,1
